snapshot_date,store_id,product_id,current_stock,reorder_point,is_understocked,days_of_supply
2024-12-31,STR01,PRD001,28,25,0,2.0
2024-12-31,STR01,PRD002,179,37,0,22.4
2024-12-31,STR01,PRD003,86,48,0,8.6
2024-12-31,STR01,PRD004,120,38,0,13.3
2024-12-31,STR01,PRD005,89,31,0,9.9
2024-12-31,STR01,PRD006,172,34,0,34.4
2024-12-31,STR01,PRD007,151,12,0,30.2
2024-12-31,STR01,PRD008,184,34,0,13.1
2024-12-31,STR01,PRD009,174,33,0,87.0
2024-12-31,STR01,PRD010,47,28,0,2.9
2024-12-31,STR01,PRD011,30,50,1,2.0
2024-12-31,STR01,PRD012,184,27,0,12.3
2024-12-31,STR01,PRD013,133,25,0,14.8
2024-12-31,STR01,PRD014,196,50,0,32.7
2024-12-31,STR01,PRD015,179,13,0,17.9
2024-12-31,STR01,PRD016,149,23,0,11.5
2024-12-31,STR01,PRD017,78,39,0,39.0
2024-12-31,STR01,PRD018,54,44,0,6.0
2024-12-31,STR01,PRD019,116,24,0,8.9
2024-12-31,STR01,PRD020,83,17,0,27.7
2024-12-31,STR01,PRD021,163,34,0,13.6
2024-12-31,STR01,PRD022,26,10,0,1.9
2024-12-31,STR01,PRD023,165,31,0,165.0
2024-12-31,STR01,PRD024,110,26,0,13.8
2024-12-31,STR01,PRD025,129,29,0,129.0
2024-12-31,STR01,PRD026,156,20,0,19.5
2024-12-31,STR01,PRD027,140,11,0,11.7
2024-12-31,STR01,PRD028,15,46,1,3.0
2024-12-31,STR01,PRD029,192,44,0,10.1
2024-12-31,STR01,PRD030,68,43,0,3.4
2024-12-31,STR01,PRD031,43,22,0,43.0
2024-12-31,STR01,PRD032,166,43,0,8.3
2024-12-31,STR01,PRD033,145,11,0,11.2
2024-12-31,STR01,PRD034,173,14,0,9.1
2024-12-31,STR01,PRD035,190,31,0,12.7
2024-12-31,STR01,PRD036,83,23,0,10.4
2024-12-31,STR01,PRD037,112,40,0,112.0
2024-12-31,STR01,PRD038,166,32,0,10.4
2024-12-31,STR01,PRD039,198,16,0,99.0
2024-12-31,STR01,PRD040,16,22,1,1.1
2024-12-31,STR01,PRD041,75,39,0,5.8
2024-12-31,STR01,PRD042,91,44,0,22.8
2024-12-31,STR01,PRD043,78,40,0,26.0
2024-12-31,STR01,PRD044,169,34,0,28.2
2024-12-31,STR01,PRD045,75,45,0,7.5
2024-12-31,STR01,PRD046,89,13,0,6.8
2024-12-31,STR01,PRD047,142,47,0,142.0
2024-12-31,STR01,PRD048,138,42,0,23.0
2024-12-31,STR01,PRD049,200,25,0,11.1
2024-12-31,STR01,PRD050,186,12,0,93.0
2024-12-31,STR02,PRD001,194,25,0,21.6
2024-12-31,STR02,PRD002,122,37,0,15.2
2024-12-31,STR02,PRD003,71,48,0,35.5
2024-12-31,STR02,PRD004,13,38,1,1.9
2024-12-31,STR02,PRD005,87,31,0,10.9
2024-12-31,STR02,PRD006,159,34,0,19.9
2024-12-31,STR02,PRD007,46,12,0,11.5
2024-12-31,STR02,PRD008,9,34,1,4.5
2024-12-31,STR02,PRD009,141,33,0,141.0
2024-12-31,STR02,PRD010,73,28,0,6.6
2024-12-31,STR02,PRD011,39,50,1,2.6
2024-12-31,STR02,PRD012,53,27,0,3.8
2024-12-31,STR02,PRD013,40,25,0,8.0
2024-12-31,STR02,PRD014,140,50,0,11.7
2024-12-31,STR02,PRD015,34,13,0,2.8
2024-12-31,STR02,PRD016,193,23,0,10.2
2024-12-31,STR02,PRD017,32,39,1,3.6
2024-12-31,STR02,PRD018,200,44,0,10.5
2024-12-31,STR02,PRD019,0,24,1,0.0
2024-12-31,STR02,PRD020,136,17,0,6.8
2024-12-31,STR02,PRD021,64,34,0,4.0
2024-12-31,STR02,PRD022,186,10,0,10.3
