sale_id,date,store_id,product_id,quantity_sold,unit_price,revenue
SL0000STR01PRD016,2024-01-01,STR01,PRD016,7,1345.75,9420.24
SL0000STR01PRD017,2024-01-01,STR01,PRD017,8,1995.97,15967.72
SL0000STR01PRD026,2024-01-01,STR01,PRD026,7,810.04,5670.25
SL0000STR01PRD009,2024-01-01,STR01,PRD009,8,4345.45,34763.57
SL0000STR01PRD043,2024-01-01,STR01,PRD043,8,2161.51,17292.07
SL0000STR01PRD042,2024-01-01,STR01,PRD042,7,551.07,3857.48
SL0000STR01PRD020,2024-01-01,STR01,PRD020,12,3802.09,45625.1
SL0000STR01PRD030,2024-01-01,STR01,PRD030,5,881.94,4409.7
SL0000STR01PRD021,2024-01-01,STR01,PRD021,9,366.45,3298.05
SL0000STR01PRD005,2024-01-01,STR01,PRD005,7,3657.15,25600.08
SL0000STR01PRD001,2024-01-01,STR01,PRD001,7,3573.18,25012.24
SL0000STR01PRD046,2024-01-01,STR01,PRD046,13,1576.13,20489.64
SL0000STR01PRD037,2024-01-01,STR01,PRD037,3,2333.43,7000.3
SL0000STR01PRD007,2024-01-01,STR01,PRD007,9,1412.36,12711.21
SL0000STR01PRD041,2024-01-01,STR01,PRD041,13,981.5,12759.5
SL0000STR01PRD035,2024-01-01,STR01,PRD035,6,4375.68,26254.11
SL0000STR01PRD014,2024-01-01,STR01,PRD014,8,4840.15,38721.2
SL0000STR01PRD033,2024-01-01,STR01,PRD033,9,356.31,3206.81
SL0000STR01PRD049,2024-01-01,STR01,PRD049,7,380.34,2662.37
SL0000STR01PRD036,2024-01-01,STR01,PRD036,12,3424.47,41093.59
SL0000STR01PRD039,2024-01-01,STR01,PRD039,7,3502.55,24517.82
SL0000STR01PRD012,2024-01-01,STR01,PRD012,9,1087.65,9788.83
SL0000STR01PRD003,2024-01-01,STR01,PRD003,10,1171.76,11717.63
SL0000STR01PRD008,2024-01-01,STR01,PRD008,12,5065.57,60786.81
SL0000STR01PRD029,2024-01-01,STR01,PRD029,6,4671.31,28027.89
SL0000STR02PRD028,2024-01-01,STR02,PRD028,10,351.07,3510.67
SL0000STR02PRD018,2024-01-01,STR02,PRD018,9,3639.3,32753.7
SL0000STR02PRD003,2024-01-01,STR02,PRD003,10,1161.11,11611.14
SL0000STR02PRD001,2024-01-01,STR02,PRD001,9,3832.25,34490.23
SL0000STR02PRD022,2024-01-01,STR02,PRD022,13,4699.99,61099.86
SL0000STR02PRD009,2024-01-01,STR02,PRD009,16,4394.11,70305.76
SL0000STR02PRD041,2024-01-01,STR02,PRD041,10,927.54,9275.44
SL0000STR02PRD017,2024-01-01,STR02,PRD017,6,2093.63,12561.8
SL0000STR02PRD011,2024-01-01,STR02,PRD011,8,1466.24,11729.9
SL0000STR02PRD029,2024-01-01,STR02,PRD029,10,4847.84,48478.39
SL0000STR02PRD036,2024-01-01,STR02,PRD036,7,3418.55,23929.87
SL0000STR02PRD050,2024-01-01,STR02,PRD050,10,2984.18,29841.85
SL0000STR02PRD040,2024-01-01,STR02,PRD040,6,1248.59,7491.56
SL0000STR02PRD047,2024-01-01,STR02,PRD047,3,321.62,964.87
SL0000STR02PRD008,2024-01-01,STR02,PRD008,9,4964.88,44683.92
SL0000STR02PRD005,2024-01-01,STR02,PRD005,9,3464.61,31181.5
SL0000STR02PRD010,2024-01-01,STR02,PRD010,7,3169.96,22189.7
SL0000STR02PRD048,2024-01-01,STR02,PRD048,10,330.58,3305.78
SL0000STR02PRD024,2024-01-01,STR02,PRD024,4,2226.95,8907.82
SL0000STR02PRD019,2024-01-01,STR02,PRD019,6,2111.85,12671.11
SL0000STR02PRD049,2024-01-01,STR02,PRD049,14,380.6,5328.41
SL0000STR02PRD035,2024-01-01,STR02,PRD035,13,4677.09,60802.19
SL0000STR02PRD014,2024-01-01,STR02,PRD014,11,5131.88,56450.63
SL0000STR02PRD044,2024-01-01,STR02,PRD044,8,1872.56,14980.46
SL0000STR02PRD002,2024-01-01,STR02,PRD002,7,488.04,3416.26
SL0000STR02PRD034,2024-01-01,STR02,PRD034,6,1128.5,6771.03
SL0000STR02PRD012,2024-01-01,STR02,PRD012,10,1062.99,10629.93
SL0000STR02PRD026,2024-01-01,STR02,PRD026,7,771.82,5402.75
SL0000STR02PRD032,2024-01-01,STR02,PRD032,5,2279.24,11396.2
SL0000STR02PRD007,2024-01-01,STR02,PRD007,9,1339.15,12052.31
SL0000STR02PRD038,2024-01-01,STR02,PRD038,10,3315.08,33150.75
SL0000STR02PRD004,2024-01-01,STR02,PRD004,11,2164.8,23812.76
SL0000STR02PRD046,2024-01-01,STR02,PRD046,9,1570.89,14138.03
SL0000STR02PRD039,2024-01-01,STR02,PRD039,14,3326.03,46564.36
SL0000STR02PRD027,2024-01-01,STR02,PRD027,7,1576.41,11034.86
SL0000STR03PRD012,2024-01-01,STR03,PRD012,16,1107.37,17717.96
SL0000STR03PRD038,2024-01-01,STR03,PRD038,9,3457.77,31119.96
SL0000STR03PRD017,2024-01-01,STR03,PRD017,11,2055.99,22615.85
SL0000STR03PRD003,2024-01-01,STR03,PRD003,6,1165.26,6991.58
SL0000STR03PRD007,2024-01-01,STR03,PRD007,13,1350.04,17550.53
SL0000STR03PRD039,2024-01-01,STR03,PRD039,10,3535.01,35350.11
SL0000STR03PRD028,2024-01-01,STR03,PRD028,5,350.9,1754.49
SL0000STR03PRD023,2024-01-01,STR03,PRD023,8,3902.03,31216.25
SL0000STR03PRD021,2024-01-01,STR03,PRD021,5,370.41,1852.07
SL0000STR03PRD044,2024-01-01,STR03,PRD044,8,1853.63,14829.01
SL0000STR03PRD045,2024-01-01,STR03,PRD045,8,3638.07,29104.57
SL0000STR03PRD033,2024-01-01,STR03,PRD033,8,367.19,2937.53
SL0000STR03PRD008,2024-01-01,STR03,PRD008,9,4948.15,44533.31
SL0000STR03PRD025,2024-01-01,STR03,PRD025,5,4283.3,21416.51
SL0000STR03PRD013,2024-01-01,STR03,PRD013,9,2747.12,24724.06
SL0000STR03PRD048,2024-01-01,STR03,PRD048,9,333.35,3000.19
SL0000STR03PRD047,2024-01-01,STR03,PRD047,7,322.71,2258.96
SL0000STR03PRD041,2024-01-01,STR03,PRD041,7,974.07,6818.52
SL0000STR03PRD001,2024-01-01,STR03,PRD001,12,3675.7,44108.45
SL0000STR03PRD035,2024-01-01,STR03,PRD035,8,4644.28,37154.24
SL0000STR03PRD030,2024-01-01,STR03,PRD030,7,839.11,5873.74
SL0000STR03PRD026,2024-01-01,STR03,PRD026,7,812.12,5684.87
SL0000STR03PRD018,2024-01-01,STR03,PRD018,13,3702.59,48133.72
SL0000STR04PRD020,2024-01-01,STR04,PRD020,8,3851.34,30810.74
SL0000STR04PRD019,2024-01-01,STR04,PRD019,12,1983.2,23798.43
SL0000STR04PRD014,2024-01-01,STR04,PRD014,12,5029.22,60350.61
SL0000STR04PRD028,2024-01-01,STR04,PRD028,9,340.75,3066.71
SL0000STR04PRD038,2024-01-01,STR04,PRD038,8,3177.29,25418.33
SL0000STR04PRD039,2024-01-01,STR04,PRD039,10,3536.07,35360.68
SL0000STR04PRD042,2024-01-01,STR04,PRD042,10,520.47,5204.75
SL0000STR04PRD021,2024-01-01,STR04,PRD021,11,357.55,3933.06
SL0000STR04PRD030,2024-01-01,STR04,PRD030,14,893.97,12515.59
SL0000STR04PRD029,2024-01-01,STR04,PRD029,6,4718.54,28311.24
SL0000STR04PRD041,2024-01-01,STR04,PRD041,10,914.79,9147.85
SL0000STR04PRD048,2024-01-01,STR04,PRD048,9,347.59,3128.35
SL0000STR04PRD033,2024-01-01,STR04,PRD033,8,371.01,2968.1
SL0000STR04PRD031,2024-01-01,STR04,PRD031,7,3890.28,27231.95
SL0000STR04PRD011,2024-01-01,STR04,PRD011,6,1419.61,8517.67
SL0000STR05PRD037,2024-01-01,STR05,PRD037,10,2447.95,24479.47
SL0000STR05PRD013,2024-01-01,STR05,PRD013,7,2687.17,18810.17
SL0000STR05PRD046,2024-01-01,STR05,PRD046,5,1482.13,7410.64
SL0000STR05PRD045,2024-01-01,STR05,PRD045,8,3409.71,27277.69
SL0000STR05PRD025,2024-01-01,STR05,PRD025,7,4419.08,30933.54
SL0000STR05PRD032,2024-01-01,STR05,PRD032,4,2277.57,9110.29
SL0000STR05PRD026,2024-01-01,STR05,PRD026,11,808.27,8890.95
SL0000STR05PRD016,2024-01-01,STR05,PRD016,12,1392.75,16713.02
SL0000STR05PRD010,2024-01-01,STR05,PRD010,9,3248.34,29235.09
SL0000STR05PRD001,2024-01-01,STR05,PRD001,5,3563.47,17817.33
SL0000STR05PRD007,2024-01-01,STR05,PRD007,6,1330.25,7981.51
SL0000STR05PRD028,2024-01-01,STR05,PRD028,12,329.04,3948.52
SL0000STR05PRD015,2024-01-01,STR05,PRD015,7,4146.0,29021.99
SL0000STR05PRD012,2024-01-01,STR05,PRD012,10,1091.42,10914.25
SL0000STR05PRD034,2024-01-01,STR05,PRD034,8,1098.85,8790.81
SL0000STR05PRD030,2024-01-01,STR05,PRD030,10,844.07,8440.7
SL0000STR05PRD004,2024-01-01,STR05,PRD004,8,2167.87,17342.93
SL0000STR05PRD043,2024-01-01,STR05,PRD043,13,2104.31,27356.01
SL0000STR05PRD008,2024-01-01,STR05,PRD008,12,4654.83,55858.0
SL0000STR05PRD038,2024-01-01,STR05,PRD038,8,3281.36,26250.86
SL0000STR05PRD005,2024-01-01,STR05,PRD005,6,3520.73,21124.37
SL0000STR05PRD044,2024-01-01,STR05,PRD044,8,1909.7,15277.59
SL0000STR05PRD031,2024-01-01,STR05,PRD031,11,3677.49,40452.42
SL0000STR05PRD022,2024-01-01,STR05,PRD022,11,4818.05,52998.6
SL0000STR05PRD017,2024-01-01,STR05,PRD017,4,2089.69,8358.75
